Source,Target,Type,Id,Label,timeset,Weight
13570592,144977816,Directed,178,,,1
13570592,145599925,Directed,179,,,1
13570592,160314044,Directed,180,,,1
13570592,171081009,Directed,181,,,1
13570592,182912631,Directed,182,,,1
13570592,184481239,Directed,183,,,1
13570592,265064671,Directed,184,,,1
13678754,4163556,Directed,185,,,1
13678754,8091161,Directed,186,,,1
13678754,11032809,Directed,187,,,1
13678754,11758244,Directed,188,,,1
13678754,12545133,Directed,189,,,1
13678754,19745720,Directed,190,,,1
13678754,22643458,Directed,191,,,1
13678754,24457357,Directed,192,,,1
13678754,27835117,Directed,193,,,1
13678754,31918619,Directed,194,,,1
13678754,55859088,Directed,195,,,1
13678754,57578133,Directed,196,,,1
13678754,58591324,Directed,197,,,1
13678754,87659298,Directed,198,,,1
13678754,103643300,Directed,199,,,1
13678754,117257470,Directed,200,,,1
13678754,123135073,Directed,201,,,1
13678754,169281899,Directed,202,,,1
13678754,335066620,Directed,203,,,1
13678754,349975431,Directed,204,,,1
13901621,3962774,Directed,205,,,1
13901621,8443582,Directed,206,,,1
13901621,13570592,Directed,207,,,1
13901621,15214765,Directed,208,,,1
13901621,19528233,Directed,209,,,1
13901621,20644948,Directed,210,,,1
13901621,24968494,Directed,211,,,1
13901621,27362559,Directed,212,,,1
13901621,29318531,Directed,213,,,1
13901621,29577094,Directed,214,,,1
13901621,30326447,Directed,215,,,1
13901621,30637530,Directed,216,,,1
13901621,33291061,Directed,217,,,1
13901621,36013631,Directed,218,,,1
13901621,36531766,Directed,219,,,1
13901621,49737902,Directed,220,,,1
13901621,54719519,Directed,221,,,1
13901621,54805716,Directed,222,,,1
13901621,63059154,Directed,223,,,1
13901621,63632030,Directed,224,,,1
13901621,118145874,Directed,225,,,1
13901621,133009701,Directed,226,,,1
13901621,135539293,Directed,227,,,1
13901621,138296578,Directed,228,,,1
13901621,143018151,Directed,229,,,1
13901621,144977816,Directed,230,,,1
13901621,145599925,Directed,231,,,1
13901621,182912631,Directed,232,,,1
13901621,184481239,Directed,233,,,1
13901621,200526015,Directed,234,,,1
13901621,223540146,Directed,235,,,1
13901621,269660736,Directed,236,,,1
13901621,348985678,Directed,237,,,1
15214765,7291997,Directed,238,,,1
15214765,13570592,Directed,239,,,1
15214765,13901621,Directed,240,,,1
15214765,24968494,Directed,241,,,1
15214765,29577094,Directed,242,,,1
15214765,33291061,Directed,243,,,1
15214765,36013631,Directed,244,,,1
15214765,49737902,Directed,245,,,1
15214765,51040071,Directed,246,,,1
15214765,54719519,Directed,247,,,1
15214765,63059154,Directed,248,,,1
15214765,72323949,Directed,249,,,1
15214765,133009701,Directed,250,,,1
15214765,135539293,Directed,251,,,1
15214765,160314044,Directed,252,,,1
15214765,182912631,Directed,253,,,1
15214765,184481239,Directed,254,,,1
15214765,228813727,Directed,255,,,1
17604614,24968494,Directed,256,,,1
19528233,8443582,Directed,257,,,1
19528233,11758244,Directed,258,,,1
19528233,13901621,Directed,259,,,1
19528233,20644948,Directed,260,,,1
19528233,27362559,Directed,261,,,1
19528233,29318531,Directed,262,,,1
19528233,29577094,Directed,263,,,1
19528233,33291061,Directed,264,,,1
19528233,36013631,Directed,265,,,1
19528233,36531766,Directed,266,,,1
19528233,49737902,Directed,267,,,1
19528233,52524300,Directed,268,,,1
19528233,54805716,Directed,269,,,1
19528233,63059154,Directed,270,,,1
19528233,87659298,Directed,271,,,1
19528233,118145874,Directed,272,,,1
19528233,133009701,Directed,273,,,1
19528233,135539293,Directed,274,,,1
19528233,145599925,Directed,275,,,1
19528233,160314044,Directed,276,,,1
19528233,182912631,Directed,277,,,1
19528233,184455124,Directed,278,,,1
19528233,184481239,Directed,279,,,1
19528233,200526015,Directed,280,,,1
19528233,223540146,Directed,281,,,1
19528233,269660736,Directed,282,,,1
19745720,11032809,Directed,283,,,1
19745720,11396061,Directed,284,,,1
19745720,12545133,Directed,285,,,1
19745720,13678754,Directed,286,,,1
19745720,22643458,Directed,287,,,1
19745720,24457357,Directed,288,,,1
19745720,27835117,Directed,289,,,1
19745720,29560623,Directed,290,,,1
19745720,31918619,Directed,291,,,1
19745720,57578133,Directed,292,,,1
19745720,58591324,Directed,293,,,1
19745720,69615977,Directed,294,,,1
19745720,87659298,Directed,295,,,1
19745720,103643300,Directed,296,,,1
19745720,117257470,Directed,297,,,1
19745720,123135073,Directed,298,,,1
19745720,138662527,Directed,299,,,1
19745720,319946857,Directed,300,,,1
19745720,321380523,Directed,301,,,1
19745720,321776160,Directed,302,,,1
20644948,13901621,Directed,303,,,1
20644948,19528233,Directed,304,,,1
20644948,29318531,Directed,305,,,1
20644948,36013631,Directed,306,,,1
20644948,38375746,Directed,307,,,1
20644948,49737902,Directed,308,,,1
20644948,51040071,Directed,309,,,1
20644948,54719519,Directed,310,,,1
20644948,84899856,Directed,311,,,1
20644948,145599925,Directed,312,,,1
20644948,171081009,Directed,313,,,1
20644948,348985678,Directed,314,,,1
22643458,4163556,Directed,315,,,1
22643458,8091161,Directed,316,,,1
22643458,11032809,Directed,317,,,1
22643458,11758244,Directed,318,,,1
22643458,12545133,Directed,319,,,1
22643458,13678754,Directed,320,,,1
22643458,19745720,Directed,321,,,1
22643458,27835117,Directed,322,,,1
22643458,55859088,Directed,323,,,1
22643458,57578133,Directed,324,,,1
22643458,58591324,Directed,325,,,1
22643458,87659298,Directed,326,,,1
22643458,123135073,Directed,327,,,1
22643458,138662527,Directed,328,,,1
22643458,335066620,Directed,329,,,1
24457357,8091161,Directed,330,,,1
24457357,10038725,Directed,331,,,1
24457357,11032809,Directed,332,,,1
